observation_id,provider_id,period_end,period_label,reported_passings,aligned_denominator,reported_connections,reported_penetration,calculated_penetration,passings_unit,customer_scope,denominator_scope,quality_grade,source_id,caveat
frontier_2022q1,frontier,2022-03-31,1Q22,4200000,4200000,1492000,0.358,0.3552,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m; use reported penetration"
frontier_2022q2,frontier,2022-06-30,2Q22,4400000,4400000,1546000,0.348,0.3514,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m; use reported penetration"
frontier_2022q3,frontier,2022-09-30,3Q22,4800000,4800000,1612000,0.336,0.3358,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2022q4,frontier,2022-12-31,4Q22,5200000,5200000,1689000,0.326,0.3248,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2023q1,frontier,2023-03-31,1Q23,5500000,5500000,1777000,0.322,0.3231,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2023q2,frontier,2023-06-30,2Q23,5800000,5800000,1844000,0.316,0.3179,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2023q3,frontier,2023-09-30,3Q23,6200000,6200000,1923000,0.312,0.3102,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2023q4,frontier,2023-12-31,4Q23,6500000,6500000,2007000,0.309,0.3088,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2024q1,frontier,2024-03-31,1Q24,6800000,6800000,2095000,0.307,0.3081,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q1_2024_trending,"Passings rounded to 0.1m"
frontier_2024q2,frontier,2024-06-30,2Q24,7200000,7200000,2187000,0.304,0.3038,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q2_2025_results,"Passings rounded to 0.1m"
frontier_2024q3,frontier,2024-09-30,3Q24,7600000,7600000,2295000,0.302,0.3020,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q3_2025_results,"Passings rounded to 0.1m"
frontier_2024q4,frontier,2024-12-31,4Q24,7800000,7800000,2392000,0.306,0.3067,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q4_2024_results,"Passings rounded to 0.1m"
frontier_2025q1,frontier,2025-03-31,1Q25,8100000,8100000,2499000,0.307,0.3085,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q2_2025_results,"Passings rounded to 0.1m"
frontier_2025q2,frontier,2025-06-30,2Q25,8500000,8500000,2625000,0.309,0.3088,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q2_2025_results,"Passings rounded to 0.1m"
frontier_2025q3,frontier,2025-09-30,3Q25,8800000,8800000,2758000,0.313,0.3134,locations,"Consumer plus business/wholesale fiber broadband","Total fiber passings",A,frontier_q3_2025_results,"Passings rounded to 0.1m"
att_2023q1,att,2023-03-31,1Q23,24700000,19700000,7487000,0.380,0.3801,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Total consumer/business passings shown separately"
att_2023q2,att,2023-06-30,2Q23,25400000,20200000,7738000,0.380,0.3831,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2023q3,att,2023-09-30,3Q23,26000000,20700000,8034000,0.390,0.3881,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2023q4,att,2023-12-31,4Q23,26500000,21100000,8307000,0.390,0.3937,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
att_2024q1,att,2024-03-31,1Q24,27100000,21500000,8559000,0.400,0.3981,locations,Consumer fiber connections,Consumer fiber served locations,A,att_q4_2025_trending,"Reported penetration rounded to whole percent"
