observation_id,provider_id,cohort_label,cohort_launch_period,observed_as_of,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
frontier_2020q1_12,frontier,2020 cumulative through Q1,2020-Q1,2021-03-31,12,9000,0.29,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Small early cohort"
frontier_2020q1_24,frontier,2020 cumulative through Q1,2020-Q1,2022-03-31,24,9000,0.44,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Small early cohort"
frontier_2020q2_12,frontier,2020 cumulative through Q2,2020-Q2,2021-06-30,12,17000,0.30,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q2_24,frontier,2020 cumulative through Q2,2020-Q2,2022-06-30,24,17000,0.44,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q3_12,frontier,2020 cumulative through Q3,2020-Q3,2021-09-30,12,26000,0.30,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q3_24,frontier,2020 cumulative through Q3,2020-Q3,2022-09-30,24,26000,0.42,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q4_12,frontier,2020 cumulative through Q4,2020-Q4,2021-12-31,12,86000,0.22,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q4_24,frontier,2020 cumulative through Q4,2020-Q4,2022-12-31,24,86000,0.31,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2020q4_36,frontier,2020 cumulative through Q4,2020-Q4,2023-12-31,36,86000,0.35,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q1_12,frontier,2021 cumulative through Q1,2021-Q1,2022-03-31,12,104000,0.18,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q1_24,frontier,2021 cumulative through Q1,2021-Q1,2023-03-31,24,104000,0.25,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q2_12,frontier,2021 cumulative through Q2,2021-Q2,2022-06-30,12,261000,0.17,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q2_24,frontier,2021 cumulative through Q2,2021-Q2,2023-06-30,24,261000,0.24,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q3_12,frontier,2021 cumulative through Q3,2021-Q3,2022-09-30,12,446000,0.17,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q3_24,frontier,2021 cumulative through Q3,2021-Q3,2023-09-30,24,446000,0.25,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q4_12,frontier,2021 cumulative through Q4,2021-Q4,2022-12-31,12,638000,0.18,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2021q4_24,frontier,2021 cumulative through Q4,2021-Q4,2023-12-31,24,638000,0.25,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2022q1_12,frontier,2022 cumulative through Q1,2022-Q1,2023-03-31,12,211000,0.20,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2022q1_24,frontier,2022 cumulative through Q1,2022-Q1,2024-03-31,24,211000,0.26,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2022q2_12,frontier,2022 cumulative through Q2,2022-Q2,2023-06-30,12,493000,0.19,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2022q3_12,frontier,2022 cumulative through Q3,2022-Q3,2023-09-30,12,844000,0.18,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2022q4_12,frontier,2022 cumulative through Q4,2022-Q4,2023-12-31,12,1225000,0.18,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
frontier_2023q1_12,frontier,2023 cumulative through Q1,2023-Q1,2024-03-31,12,339000,0.18,A,frontier_q1_2024_trending,Cumulative vintage passings at anniversary,"Cumulative rather than discrete-quarter cohort"
kinetic_2022_12,kinetic,2022 build cohort,2022,2023-12-31,12,,0.25,A,kinetic_q3_2025_presentation,Consumers on 1G-capable facilities within launch-year cohort,"Milestone reported in 3Q25 presentation"
kinetic_2022_24,kinetic,2022 build cohort,2022,2024-12-31,24,,0.29,A,kinetic_q3_2025_presentation,Consumers on 1G-capable facilities within launch-year cohort,"Milestone reported in 3Q25 presentation"
