observation_id,provider_id,report_period,report_as_of,cohort_label,cohort_launch_period,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
kinetic_annual_2024q4_2021_12,kinetic,2024-Q4,2024-12-31,2021 launch-year cohort,2021,12,,0.18,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2024q4_2021_24,kinetic,2024-Q4,2024-12-31,2021 launch-year cohort,2021,24,,0.24,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2024q4_2021_36,kinetic,2024-Q4,2024-12-31,2021 launch-year cohort,2021,36,,0.26,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2024q4_2022_12,kinetic,2024-Q4,2024-12-31,2022 launch-year cohort,2022,12,,0.25,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2024q4_2022_24,kinetic,2024-Q4,2024-12-31,2022 launch-year cohort,2022,24,,0.29,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2024q4_2023_12,kinetic,2024-Q4,2024-12-31,2023 launch-year cohort,2023,12,,0.28,A,kinetic_q4_2024_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2022_12,kinetic,2025-Q1,2025-03-31,2022 launch-year cohort,2022,12,,0.25,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2022_24,kinetic,2025-Q1,2025-03-31,2022 launch-year cohort,2022,24,,0.29,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2022_36,kinetic,2025-Q1,2025-03-31,2022 launch-year cohort,2022,36,,0.3,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2023_12,kinetic,2025-Q1,2025-03-31,2023 launch-year cohort,2023,12,,0.28,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2023_24,kinetic,2025-Q1,2025-03-31,2023 launch-year cohort,2023,24,,0.32,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q1_2024_12,kinetic,2025-Q1,2025-03-31,2024 launch-year cohort,2024,12,,0.26,A,kinetic_q1_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2022_12,kinetic,2025-Q2,2025-06-30,2022 launch-year cohort,2022,12,,0.25,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2022_24,kinetic,2025-Q2,2025-06-30,2022 launch-year cohort,2022,24,,0.29,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2022_36,kinetic,2025-Q2,2025-06-30,2022 launch-year cohort,2022,36,,0.3,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2023_12,kinetic,2025-Q2,2025-06-30,2023 launch-year cohort,2023,12,,0.28,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2023_24,kinetic,2025-Q2,2025-06-30,2023 launch-year cohort,2023,24,,0.31,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q2_2024_12,kinetic,2025-Q2,2025-06-30,2024 launch-year cohort,2024,12,,0.28,A,kinetic_q2_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q3_2022_12,kinetic,2025-Q3,2025-09-30,2022 launch-year cohort,2022,12,,0.25,A,kinetic_q3_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q3_2022_24,kinetic,2025-Q3,2025-09-30,2022 launch-year cohort,2022,24,,0.29,A,kinetic_q3_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
kinetic_annual_2025q3_2022_36,kinetic,2025-Q3,2025-09-30,2022 launch-year cohort,2022,36,,0.31,A,kinetic_q3_2025_presentation,Consumers on 1G-capable facilities; quarterly launch cohorts summarized by launch year,Rolling annual aggregate of all subcohorts that had reached the milestone by report date; values may change as cohort membership expands.
