observation_id,provider_id,cohort_label,cohort_launch_period,observed_as_of,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat,first_report_period,last_report_period,times_disclosed
kinetic_2020q2_12,kinetic,2020-Q2 launch cohort,2020-Q2,2021-06-30,12,,0.18,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2020q2_24,kinetic,2020-Q2 launch cohort,2020-Q2,2022-06-30,24,,0.23,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2020q3_12,kinetic,2020-Q3 launch cohort,2020-Q3,2021-09-30,12,,0.16,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2020q3_24,kinetic,2020-Q3 launch cohort,2020-Q3,2022-09-30,24,,0.23,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2020q4_12,kinetic,2020-Q4 launch cohort,2020-Q4,2021-12-31,12,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2020q4_24,kinetic,2020-Q4 launch cohort,2020-Q4,2022-12-31,24,,0.29,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q1_12,kinetic,2021-Q1 launch cohort,2021-Q1,2022-03-31,12,,0.15,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q1_24,kinetic,2021-Q1 launch cohort,2021-Q1,2023-03-31,24,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q2_12,kinetic,2021-Q2 launch cohort,2021-Q2,2022-06-30,12,,0.15,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q2_24,kinetic,2021-Q2 launch cohort,2021-Q2,2023-06-30,24,,0.21,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q3_12,kinetic,2021-Q3 launch cohort,2021-Q3,2022-09-30,12,,0.2,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q3_24,kinetic,2021-Q3 launch cohort,2021-Q3,2023-09-30,24,,0.26,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
kinetic_2021q4_12,kinetic,2021-Q4 launch cohort,2021-Q4,2022-12-31,12,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,No interpolation and no cohort passings disclosed; do not passing-weight.,2023-Q3,2024-Q3,4
