observation_id,provider_id,report_period,report_as_of,cohort_label,cohort_launch_period,months_since_launch,measurement_as_of,measurement_basis,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
kinetic_2023q3_2020q2_12,kinetic,2023-Q3,2023-09-30,2020-Q2 launch cohort,2020-Q2,12,2021-06-30,anniversary_milestone,,0.18,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2020q3_12,kinetic,2023-Q3,2023-09-30,2020-Q3 launch cohort,2020-Q3,12,2021-09-30,anniversary_milestone,,0.16,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2020q4_12,kinetic,2023-Q3,2023-09-30,2020-Q4 launch cohort,2020-Q4,12,2021-12-31,anniversary_milestone,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q1_12,kinetic,2023-Q3,2023-09-30,2021-Q1 launch cohort,2021-Q1,12,2022-03-31,anniversary_milestone,,0.15,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q2_12,kinetic,2023-Q3,2023-09-30,2021-Q2 launch cohort,2021-Q2,12,2022-06-30,anniversary_milestone,,0.15,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q3_12,kinetic,2023-Q3,2023-09-30,2021-Q3 launch cohort,2021-Q3,12,2022-09-30,anniversary_milestone,,0.2,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q4_12,kinetic,2023-Q3,2023-09-30,2021-Q4 launch cohort,2021-Q4,12,2022-12-31,anniversary_milestone,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2022q1_12,kinetic,2023-Q3,2023-09-30,2022-Q1 launch cohort,2022-Q1,12,2023-03-31,anniversary_milestone,,0.25,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2022q2_12,kinetic,2023-Q3,2023-09-30,2022-Q2 launch cohort,2022-Q2,12,2023-06-30,anniversary_milestone,,0.26,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2022q3_12,kinetic,2023-Q3,2023-09-30,2022-Q3 launch cohort,2022-Q3,12,2023-09-30,anniversary_milestone,,0.27,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2020q2_24,kinetic,2023-Q3,2023-09-30,2020-Q2 launch cohort,2020-Q2,24,2022-06-30,anniversary_milestone,,0.23,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2020q3_24,kinetic,2023-Q3,2023-09-30,2020-Q3 launch cohort,2020-Q3,24,2022-09-30,anniversary_milestone,,0.23,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2020q4_24,kinetic,2023-Q3,2023-09-30,2020-Q4 launch cohort,2020-Q4,24,2022-12-31,anniversary_milestone,,0.29,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q1_24,kinetic,2023-Q3,2023-09-30,2021-Q1 launch cohort,2021-Q1,24,2023-03-31,anniversary_milestone,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q2_24,kinetic,2023-Q3,2023-09-30,2021-Q2 launch cohort,2021-Q2,24,2023-06-30,anniversary_milestone,,0.21,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2021q3_24,kinetic,2023-Q3,2023-09-30,2021-Q3 launch cohort,2021-Q3,24,2023-09-30,anniversary_milestone,,0.26,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2023q3_2023q1_6,kinetic,2023-Q3,2023-09-30,2023-Q1 launch cohort,2023-Q1,6,2023-09-30,current_at_report,,0.27,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
kinetic_2023q3_2023q2_3,kinetic,2023-Q3,2023-09-30,2023-Q2 launch cohort,2023-Q2,3,2023-09-30,current_at_report,,0.22,A,kinetic_q3_2023_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
kinetic_2024q1_2020q2_12,kinetic,2024-Q1,2024-03-31,2020-Q2 launch cohort,2020-Q2,12,2021-06-30,anniversary_milestone,,0.18,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2020q3_12,kinetic,2024-Q1,2024-03-31,2020-Q3 launch cohort,2020-Q3,12,2021-09-30,anniversary_milestone,,0.16,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2020q4_12,kinetic,2024-Q1,2024-03-31,2020-Q4 launch cohort,2020-Q4,12,2021-12-31,anniversary_milestone,,0.22,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q1_12,kinetic,2024-Q1,2024-03-31,2021-Q1 launch cohort,2021-Q1,12,2022-03-31,anniversary_milestone,,0.15,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q2_12,kinetic,2024-Q1,2024-03-31,2021-Q2 launch cohort,2021-Q2,12,2022-06-30,anniversary_milestone,,0.15,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q3_12,kinetic,2024-Q1,2024-03-31,2021-Q3 launch cohort,2021-Q3,12,2022-09-30,anniversary_milestone,,0.2,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q4_12,kinetic,2024-Q1,2024-03-31,2021-Q4 launch cohort,2021-Q4,12,2022-12-31,anniversary_milestone,,0.22,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2022q1_12,kinetic,2024-Q1,2024-03-31,2022-Q1 launch cohort,2022-Q1,12,2023-03-31,anniversary_milestone,,0.25,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2022q2_12,kinetic,2024-Q1,2024-03-31,2022-Q2 launch cohort,2022-Q2,12,2023-06-30,anniversary_milestone,,0.26,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2022q3_12,kinetic,2024-Q1,2024-03-31,2022-Q3 launch cohort,2022-Q3,12,2023-09-30,anniversary_milestone,,0.27,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2022q4_12,kinetic,2024-Q1,2024-03-31,2022-Q4 launch cohort,2022-Q4,12,2023-12-31,anniversary_milestone,,0.24,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2023q1_12,kinetic,2024-Q1,2024-03-31,2023-Q1 launch cohort,2023-Q1,12,2024-03-31,anniversary_milestone,,0.29,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2020q2_24,kinetic,2024-Q1,2024-03-31,2020-Q2 launch cohort,2020-Q2,24,2022-06-30,anniversary_milestone,,0.23,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2020q3_24,kinetic,2024-Q1,2024-03-31,2020-Q3 launch cohort,2020-Q3,24,2022-09-30,anniversary_milestone,,0.23,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2020q4_24,kinetic,2024-Q1,2024-03-31,2020-Q4 launch cohort,2020-Q4,24,2022-12-31,anniversary_milestone,,0.29,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q1_24,kinetic,2024-Q1,2024-03-31,2021-Q1 launch cohort,2021-Q1,24,2023-03-31,anniversary_milestone,,0.22,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q2_24,kinetic,2024-Q1,2024-03-31,2021-Q2 launch cohort,2021-Q2,24,2023-06-30,anniversary_milestone,,0.21,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q3_24,kinetic,2024-Q1,2024-03-31,2021-Q3 launch cohort,2021-Q3,24,2023-09-30,anniversary_milestone,,0.26,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2021q4_24,kinetic,2024-Q1,2024-03-31,2021-Q4 launch cohort,2021-Q4,24,2023-12-31,anniversary_milestone,,0.27,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2022q1_24,kinetic,2024-Q1,2024-03-31,2022-Q1 launch cohort,2022-Q1,24,2024-03-31,anniversary_milestone,,0.29,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q1_2023q2_9,kinetic,2024-Q1,2024-03-31,2023-Q2 launch cohort,2023-Q2,9,2024-03-31,current_at_report,,0.27,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
kinetic_2024q1_2023q3_6,kinetic,2024-Q1,2024-03-31,2023-Q3 launch cohort,2023-Q3,6,2024-03-31,current_at_report,,0.23,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
kinetic_2024q1_2023q4_3,kinetic,2024-Q1,2024-03-31,2023-Q4 launch cohort,2023-Q4,3,2024-03-31,current_at_report,,0.2,A,kinetic_q1_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
kinetic_2024q2_2020q2_12,kinetic,2024-Q2,2024-06-30,2020-Q2 launch cohort,2020-Q2,12,2021-06-30,anniversary_milestone,,0.18,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2020q3_12,kinetic,2024-Q2,2024-06-30,2020-Q3 launch cohort,2020-Q3,12,2021-09-30,anniversary_milestone,,0.16,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2020q4_12,kinetic,2024-Q2,2024-06-30,2020-Q4 launch cohort,2020-Q4,12,2021-12-31,anniversary_milestone,,0.22,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q1_12,kinetic,2024-Q2,2024-06-30,2021-Q1 launch cohort,2021-Q1,12,2022-03-31,anniversary_milestone,,0.15,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q2_12,kinetic,2024-Q2,2024-06-30,2021-Q2 launch cohort,2021-Q2,12,2022-06-30,anniversary_milestone,,0.15,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q3_12,kinetic,2024-Q2,2024-06-30,2021-Q3 launch cohort,2021-Q3,12,2022-09-30,anniversary_milestone,,0.2,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q4_12,kinetic,2024-Q2,2024-06-30,2021-Q4 launch cohort,2021-Q4,12,2022-12-31,anniversary_milestone,,0.22,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q1_12,kinetic,2024-Q2,2024-06-30,2022-Q1 launch cohort,2022-Q1,12,2023-03-31,anniversary_milestone,,0.25,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q2_12,kinetic,2024-Q2,2024-06-30,2022-Q2 launch cohort,2022-Q2,12,2023-06-30,anniversary_milestone,,0.26,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q3_12,kinetic,2024-Q2,2024-06-30,2022-Q3 launch cohort,2022-Q3,12,2023-09-30,anniversary_milestone,,0.27,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q4_12,kinetic,2024-Q2,2024-06-30,2022-Q4 launch cohort,2022-Q4,12,2023-12-31,anniversary_milestone,,0.24,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2023q1_12,kinetic,2024-Q2,2024-06-30,2023-Q1 launch cohort,2023-Q1,12,2024-03-31,anniversary_milestone,,0.29,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2023q2_12,kinetic,2024-Q2,2024-06-30,2023-Q2 launch cohort,2023-Q2,12,2024-06-30,anniversary_milestone,,0.28,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2020q2_24,kinetic,2024-Q2,2024-06-30,2020-Q2 launch cohort,2020-Q2,24,2022-06-30,anniversary_milestone,,0.23,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2020q3_24,kinetic,2024-Q2,2024-06-30,2020-Q3 launch cohort,2020-Q3,24,2022-09-30,anniversary_milestone,,0.23,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2020q4_24,kinetic,2024-Q2,2024-06-30,2020-Q4 launch cohort,2020-Q4,24,2022-12-31,anniversary_milestone,,0.29,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q1_24,kinetic,2024-Q2,2024-06-30,2021-Q1 launch cohort,2021-Q1,24,2023-03-31,anniversary_milestone,,0.22,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q2_24,kinetic,2024-Q2,2024-06-30,2021-Q2 launch cohort,2021-Q2,24,2023-06-30,anniversary_milestone,,0.21,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q3_24,kinetic,2024-Q2,2024-06-30,2021-Q3 launch cohort,2021-Q3,24,2023-09-30,anniversary_milestone,,0.26,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2021q4_24,kinetic,2024-Q2,2024-06-30,2021-Q4 launch cohort,2021-Q4,24,2023-12-31,anniversary_milestone,,0.27,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q1_24,kinetic,2024-Q2,2024-06-30,2022-Q1 launch cohort,2022-Q1,24,2024-03-31,anniversary_milestone,,0.29,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2022q2_24,kinetic,2024-Q2,2024-06-30,2022-Q2 launch cohort,2022-Q2,24,2024-06-30,anniversary_milestone,,0.3,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Cohort passings are not disclosed; milestone bars may be repeated in later decks.
kinetic_2024q2_2023q3_9,kinetic,2024-Q2,2024-06-30,2023-Q3 launch cohort,2023-Q3,9,2024-06-30,current_at_report,,0.25,A,kinetic_q2_2024_presentation,Consumers on 1G-capable facilities within a discrete quarterly launch cohort,Under-one-year observation at report quarter-end; cohort passings are not disclosed.
