observation_id,provider_id,cohort_label,cohort_launch_period,observed_as_of,months_since_launch,cohort_passings,reported_penetration,quality_grade,source_id,cohort_definition,caveat
shentel_2022q4_launch_2022q4_age0,shentel_glo,Q4 2022 launch,2022-Q4,2022-12-31,0,17000,0.040,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2022q3_age3,shentel_glo,Q3 2022 launch,2022-Q3,2022-12-31,3,18000,0.130,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2022q2_age6,shentel_glo,Q2 2022 launch,2022-Q2,2022-12-31,6,19000,0.148,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2022q1_age9,shentel_glo,Q1 2022 launch,2022-Q1,2022-12-31,9,19000,0.127,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2021q4_age12,shentel_glo,Q4 2021 launch,2021-Q4,2022-12-31,12,14000,0.128,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2021q3_age15,shentel_glo,Q3 2021 launch,2021-Q3,2022-12-31,15,15000,0.202,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2021q2_age18,shentel_glo,Q2 2021 launch,2021-Q2,2022-12-31,18,12000,0.193,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2021q1_age21,shentel_glo,Q1 2021 launch,2021-Q1,2022-12-31,21,6000,0.200,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2020q4_age24,shentel_glo,Q4 2020 launch,2020-Q4,2022-12-31,24,6000,0.259,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2020q3_age27,shentel_glo,Q3 2020 launch,2020-Q3,2022-12-31,27,9000,0.276,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2020q2_age30,shentel_glo,Q2 2020 launch,2020-Q2,2022-12-31,30,8000,0.280,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2020q1_age33,shentel_glo,Q1 2020 launch,2020-Q1,2022-12-31,33,4000,0.244,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2022q4_launch_2019q4_age36,shentel_glo,Q4 2019 launch,2019-Q4,2022-12-31,36,2000,0.357,A,shentel_2022q4_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2023q1_age0,shentel_glo,Q1 2023 launch,2023-Q1,2023-03-31,0,18000,0.046,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2022q4_age3,shentel_glo,Q4 2022 launch,2022-Q4,2023-03-31,3,17000,0.132,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2022q3_age6,shentel_glo,Q3 2022 launch,2022-Q3,2023-03-31,6,18000,0.156,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2022q2_age9,shentel_glo,Q2 2022 launch,2022-Q2,2023-03-31,9,19000,0.167,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2022q1_age12,shentel_glo,Q1 2022 launch,2022-Q1,2023-03-31,12,19000,0.141,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2021q4_age15,shentel_glo,Q4 2021 launch,2021-Q4,2023-03-31,15,14000,0.142,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2021q3_age18,shentel_glo,Q3 2021 launch,2021-Q3,2023-03-31,18,15000,0.217,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2021q2_age21,shentel_glo,Q2 2021 launch,2021-Q2,2023-03-31,21,12000,0.209,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2021q1_age24,shentel_glo,Q1 2021 launch,2021-Q1,2023-03-31,24,6000,0.203,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2020q4_age27,shentel_glo,Q4 2020 launch,2020-Q4,2023-03-31,27,6000,0.268,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2020q3_age30,shentel_glo,Q3 2020 launch,2020-Q3,2023-03-31,30,9000,0.288,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2020q2_age33,shentel_glo,Q2 2020 launch,2020-Q2,2023-03-31,33,8000,0.293,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q1_launch_2020q1_age36,shentel_glo,Q1 2020 launch,2020-Q1,2023-03-31,36,4000,0.257,A,shentel_2023q1_presentation,Discrete launch-quarter homes passed released to sales,Passings rounded to nearest 1000; penetration read from company chart
shentel_2023q2_launch_2023q2_age0,shentel_glo,Q2 2023 launch,2023-Q2,2023-06-30,0,21000,0.053,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2023q1_age3,shentel_glo,Q1 2023 launch,2023-Q1,2023-06-30,3,17000,0.121,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2022q4_age6,shentel_glo,Q4 2022 launch,2022-Q4,2023-06-30,6,16000,0.140,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2022q3_age9,shentel_glo,Q3 2022 launch,2022-Q3,2023-06-30,9,18000,0.172,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2022q2_age12,shentel_glo,Q2 2022 launch,2022-Q2,2023-06-30,12,19000,0.183,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2022q1_age15,shentel_glo,Q1 2022 launch,2022-Q1,2023-06-30,15,18000,0.156,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2021q4_age18,shentel_glo,Q4 2021 launch,2021-Q4,2023-06-30,18,14000,0.156,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2021q3_age21,shentel_glo,Q3 2021 launch,2021-Q3,2023-06-30,21,14000,0.238,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2021q2_age24,shentel_glo,Q2 2021 launch,2021-Q2,2023-06-30,24,12000,0.222,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2021q1_age27,shentel_glo,Q1 2021 launch,2021-Q1,2023-06-30,27,6000,0.221,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2020q4_age30,shentel_glo,Q4 2020 launch,2020-Q4,2023-06-30,30,6000,0.283,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2020q3_age33,shentel_glo,Q3 2020 launch,2020-Q3,2023-06-30,33,9000,0.302,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q2_launch_2020q2_age36,shentel_glo,Q2 2020 launch,2020-Q2,2023-06-30,36,8000,0.300,A,shentel_2023q2_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2023q3_age0,shentel_glo,Q3 2023 launch,2023-Q3,2023-09-30,0,20000,0.053,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2023q2_age3,shentel_glo,Q2 2023 launch,2023-Q2,2023-09-30,3,21000,0.121,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2023q1_age6,shentel_glo,Q1 2023 launch,2023-Q1,2023-09-30,6,17000,0.135,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2022q4_age9,shentel_glo,Q4 2022 launch,2022-Q4,2023-09-30,9,16000,0.178,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2022q3_age12,shentel_glo,Q3 2022 launch,2022-Q3,2023-09-30,12,18000,0.184,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2022q2_age15,shentel_glo,Q2 2022 launch,2022-Q2,2023-09-30,15,19000,0.195,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2022q1_age18,shentel_glo,Q1 2022 launch,2022-Q1,2023-09-30,18,18000,0.165,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2021q4_age21,shentel_glo,Q4 2021 launch,2021-Q4,2023-09-30,21,14000,0.163,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2021q3_age24,shentel_glo,Q3 2021 launch,2021-Q3,2023-09-30,24,14000,0.253,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2021q2_age27,shentel_glo,Q2 2021 launch,2021-Q2,2023-09-30,27,12000,0.234,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2021q1_age30,shentel_glo,Q1 2021 launch,2021-Q1,2023-09-30,30,6000,0.230,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2020q4_age33,shentel_glo,Q4 2020 launch,2020-Q4,2023-09-30,33,6000,0.294,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q3_launch_2020q3_age36,shentel_glo,Q3 2020 launch,2020-Q3,2023-09-30,36,9000,0.310,A,shentel_2023q3_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2023q4_age0,shentel_glo,Q4 2023 launch,2023-Q4,2023-12-31,0,31000,0.037,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2023q3_age3,shentel_glo,Q3 2023 launch,2023-Q3,2023-12-31,3,20000,0.111,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2023q2_age6,shentel_glo,Q2 2023 launch,2023-Q2,2023-12-31,6,21000,0.139,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2023q1_age9,shentel_glo,Q1 2023 launch,2023-Q1,2023-12-31,9,17000,0.159,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2022q4_age12,shentel_glo,Q4 2022 launch,2022-Q4,2023-12-31,12,16000,0.185,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2022q3_age15,shentel_glo,Q3 2022 launch,2022-Q3,2023-12-31,15,18000,0.194,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2022q2_age18,shentel_glo,Q2 2022 launch,2022-Q2,2023-12-31,18,19000,0.203,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
shentel_2023q4_launch_2022q1_age21,shentel_glo,Q1 2022 launch,2022-Q1,2023-12-31,21,18000,0.172,A,shentel_2023q4_presentation,Discrete launch-quarter homes passed released to sales,Homes passed exclude vacant lots; passings rounded to nearest 1000
