panel,max_age_months,first_launch,last_launch,months_since_launch,cohort_count,total_passings,passing_weighted_penetration,simple_average_penetration,min_penetration,max_penetration
balanced_12m,12,2022-Q4,2025-Q2,0,11,236000,0.047199,0.049182,0.032,0.090
balanced_12m,12,2022-Q4,2025-Q2,3,11,235000,0.105540,0.108455,0.076,0.132
balanced_12m,12,2022-Q4,2025-Q2,6,11,234000,0.122295,0.125091,0.092,0.142
balanced_12m,12,2022-Q4,2025-Q2,9,11,234000,0.139145,0.143000,0.100,0.178
balanced_12m,12,2022-Q4,2025-Q2,12,11,234000,0.152714,0.156545,0.118,0.185
balanced_24m,24,2022-Q4,2024-Q2,0,7,154000,0.044442,0.045143,0.034,0.053
balanced_24m,24,2022-Q4,2024-Q2,3,7,153000,0.105699,0.108714,0.076,0.132
balanced_24m,24,2022-Q4,2024-Q2,6,7,152000,0.123888,0.126714,0.094,0.140
balanced_24m,24,2022-Q4,2024-Q2,9,7,152000,0.141980,0.146000,0.109,0.178
balanced_24m,24,2022-Q4,2024-Q2,12,7,152000,0.153263,0.157286,0.118,0.185
balanced_24m,24,2022-Q4,2024-Q2,15,7,152000,0.166586,0.171000,0.128,0.204
balanced_24m,24,2022-Q4,2024-Q2,18,7,152000,0.181454,0.186143,0.139,0.216
balanced_24m,24,2022-Q4,2024-Q2,21,7,152000,0.190678,0.195571,0.146,0.231
balanced_24m,24,2022-Q4,2024-Q2,24,7,152000,0.205454,0.211286,0.154,0.247
balanced_36m,36,2022-Q4,2023-Q2,0,3,56000,0.046804,0.046333,0.040,0.053
balanced_36m,36,2022-Q4,2023-Q2,3,3,55000,0.124400,0.124667,0.121,0.132
balanced_36m,36,2022-Q4,2023-Q2,6,3,54000,0.138037,0.138000,0.135,0.140
balanced_36m,36,2022-Q4,2023-Q2,9,3,54000,0.163463,0.164333,0.156,0.178
balanced_36m,36,2022-Q4,2023-Q2,12,3,54000,0.175704,0.176333,0.170,0.185
balanced_36m,36,2022-Q4,2023-Q2,15,3,54000,0.192352,0.193000,0.187,0.204
balanced_36m,36,2022-Q4,2023-Q2,18,3,54000,0.207796,0.208333,0.203,0.216
balanced_36m,36,2022-Q4,2023-Q2,21,3,54000,0.219444,0.220333,0.211,0.231
balanced_36m,36,2022-Q4,2023-Q2,24,3,54000,0.239796,0.240667,0.230,0.247
balanced_36m,36,2022-Q4,2023-Q2,27,3,54000,0.251296,0.251667,0.245,0.265
balanced_36m,36,2022-Q4,2023-Q2,30,3,54000,0.262074,0.262667,0.254,0.274
balanced_36m,36,2022-Q4,2023-Q2,33,3,54000,0.271907,0.272667,0.263,0.280
balanced_36m,36,2022-Q4,2023-Q2,36,3,54000,0.279556,0.280000,0.273,0.291
