source_id,provider_id,published_date,source_type,title,url,source_detail
frontier_q1_2024_trending,frontier,2024-05-03,company_trending_schedule,Frontier First Quarter 2024 Trending Schedule,https://s201.q4cdn.com/129601114/files/doc_financials/2024/q1/Frontier-First-Quarter-2024-Trending-Schedule.pdf,"Pages 1-3; quarterly passings/customers and fiber cohort penetration"
frontier_q4_2024_results,frontier,2025-02-20,company_results,Frontier Fourth Quarter 2024 Results,https://s201.q4cdn.com/129601114/files/doc_financials/2024/q4/Frontier-Fourth-Quarter-2024-Results.pdf,"Operating statistics table"
frontier_q2_2025_results,frontier,2025-07-29,company_results,Frontier Second Quarter 2025 Results,https://s201.q4cdn.com/129601114/files/doc_financials/2025/q2/Frontier-2Q25-Results.pdf,"Operating statistics table"
frontier_q3_2025_results,frontier,2025-10-28,company_results,Frontier Third Quarter 2025 Results,https://s201.q4cdn.com/129601114/files/doc_financials/2025/q3/Frontier-3Q25-Results_Final.pdf,"Operating statistics table"
att_q4_2025_trending,att,2026-01-28,company_trending_workbook,AT&T 4Q25 Trending Schedule,https://investors.att.com/~/media/Files/A/ATT-IR-V2/financial-reports/quarterly-earnings/2025/4Q-2025/ATT_4Q25_Trending_Schedule.xlsx,"Wireline sheet rows 11-43; 1Q23-4Q25"
kinetic_q3_2023_presentation,kinetic,2023-11-09,company_presentation,Windstream Third Quarter 2023 Financial Earnings,https://www.sec.gov/Archives/edgar/data/1620280/000110465923117217/tm2330589d1_ex99-1.htm,"Page 9; discrete quarterly cohorts at 3/6/12/24-month milestones"
kinetic_q1_2024_presentation,kinetic,2024-05-02,company_presentation,Windstream First Quarter 2024 Financial Earnings,https://investor.uniti.com/node/13241/html,"Page 9; discrete quarterly cohorts at 3/6/9/12/24-month milestones"
kinetic_q2_2024_presentation,kinetic,2024-07-31,company_presentation,Windstream Second Quarter 2024 Financial Earnings,https://investor.uniti.com/node/13496/html,"Page 9; discrete quarterly cohorts at 3/6/9/12/24-month milestones"
kinetic_q3_2024_presentation,kinetic,2024-10-30,company_presentation,Windstream Third Quarter 2024 Financial Earnings,https://www.sec.gov/Archives/edgar/data/1620280/000110465924112863/tm2427044d1_ex99-2.htm,"Page 9; discrete quarterly cohorts at 3/6/9/12/24-month milestones"
kinetic_q4_2024_presentation,kinetic,2025-02-20,company_presentation,Windstream Fourth Quarter 2024 Financial Earnings,https://www.sec.gov/Archives/edgar/data/1620280/000110465925015904/tm257127d1_ex99-2.htm,"Page 6; first annual launch-year cohort chart at 12/24/36-month milestones"
kinetic_q1_2025_presentation,kinetic,2025-05-01,company_presentation,Windstream First Quarter 2025 Financial Earnings,https://www.sec.gov/Archives/edgar/data/1620280/000110465925043515/tm2513422d1_ex99-1.htm,"Page 8; annual launch-year cohort chart"
kinetic_q2_2025_presentation,kinetic,2025-07-31,company_presentation,Windstream Second Quarter 2025 Financial Earnings,https://www.sec.gov/Archives/edgar/data/2020795/000110465925072524/tm2522120d2_ex99-1.htm,"Page 6; annual launch-year milestones and quarterly cohorts at 3/6/9 months"
kinetic_q3_2025_presentation,kinetic,2025-11-04,company_presentation,Uniti Third Quarter 2025 Financial Results,https://investor.uniti.com/static-files/1e082570-10ed-4058-8431-e0ad77fd352d,"Page 13; annual launch-year cohort chart"
kinetic_q4_2025_presentation,kinetic,2026-03-02,company_presentation,Uniti Fourth Quarter and Full Year 2025 Financial Results,https://investor.uniti.com/static-files/a848801e-e119-4d51-8536-4c1e9c88b92c,"Page 16; annual launch-year cohort chart"
kinetic_q1_2026_presentation,kinetic,2026-05-11,company_presentation,Uniti First Quarter 2026 Financial Results,https://investor.uniti.com/static-files/0802c377-39d9-43b5-a391-7c33712cd5d4,"Page 15; annual launch-year cohort chart"
kinetic_q2_2026_presentation,kinetic,2026-07-30,company_presentation,Uniti Second Quarter 2026 Financial Results,https://investor.uniti.com/static-files/784a6d39-ee86-4d04-8dbd-0e44ee70cc56,"Pages 6 and 15; Kinetic aggregate metrics and annual launch-year cohort chart"
shentel_march_2022_presentation,shentel_glo,2022-03-01,company_presentation,Shentel March 2022 Investor Presentation,https://investor.shentel.com/static-files/3ebbebc8-6066-4711-82ee-99f729f87c9a,"Page 9; launch-quarter vintage passings and penetration as of 2022-02-04"
shentel_q1_2025_results,shentel_glo,2025-05-01,company_results,Shentel First Quarter 2025 Results,https://investor.shentel.com/news-releases/news-release-details/shenandoah-telecommunications-company-reports-first-quarter-2025,"Expansion-market Glo Fiber passings, data RGUs and penetration"
shentel_2022q4_presentation,shentel_glo,2023-02-22,company_presentation,Shentel Fourth Quarter 2022 Presentation,https://investor.shentel.com/static-files/4e97d087-08db-472c-adad-86c13ff10c6f,"Page 17; launch-quarter passings and penetration as of 2022-12-31"
shentel_2023q1_presentation,shentel_glo,2023-04-28,company_presentation,Shentel First Quarter 2023 Presentation,https://investor.shentel.com/static-files/a80d429a-63f6-41bd-9a7c-acebd6d4f0c3,"Page 16; launch-quarter passings and penetration as of 2023-03-31"
shentel_2023q2_presentation,shentel_glo,2023-08-02,company_presentation,Shentel Second Quarter 2023 Presentation,https://investor.shentel.com/static-files/6d9ab056-6b1c-44d6-8b16-8e0c052d970f,"Page 15; launch-quarter passings and penetration as of 2023-06-30"
shentel_2023q3_presentation,shentel_glo,2023-11-03,company_presentation,Shentel Third Quarter 2023 Presentation,https://investor.shentel.com/static-files/e1af6c31-8f90-4d63-921f-31aa253f8f2d,"Page 17; launch-quarter passings and penetration as of 2023-09-30"
shentel_2023q4_presentation,shentel_glo,2024-02-21,company_presentation,Shentel Fourth Quarter 2023 Presentation,https://investor.shentel.com/static-files/a2ca8fd2-7d0c-4667-933c-cde652ce82fd,"Page 17; launch-quarter passings and penetration as of 2023-12-31"
shentel_2024q1_presentation,shentel_glo,2024-05-03,company_presentation,Shentel First Quarter 2024 Presentation,https://investor.shentel.com/static-files/45a9ac98-c265-4cdf-b92c-4c4a810c70a6,"Page 16; launch-quarter passings and penetration as of 2024-03-31"
shentel_2024q2_presentation,shentel_glo,2024-08-07,company_presentation,Shentel Second Quarter 2024 Presentation,https://investor.shentel.com/static-files/7fcadd9f-464c-48bd-aa40-14f3410d2e02,"Page 13; launch-quarter passings and penetration as of 2024-06-30"
shentel_2024q3_presentation,shentel_glo,2024-11-07,company_presentation,Shentel Third Quarter 2024 Presentation,https://investor.shentel.com/static-files/ad7e433c-9d46-4a7e-a885-d4ff0be816e2,"Page 13; launch-quarter passings and penetration as of 2024-09-30"
shentel_2024q4_presentation,shentel_glo,2025-02-20,company_presentation,Shentel Fourth Quarter 2024 Presentation,https://investor.shentel.com/static-files/f6ca2ffc-e219-40fe-8c8b-19c6b26ed99d,"Page 15; launch-quarter passings and penetration as of 2024-12-31"
shentel_2025q1_presentation,shentel_glo,2025-04-30,company_presentation,Shentel First Quarter 2025 Presentation,https://investor.shentel.com/static-files/00e3eca8-4baa-4c99-b1f5-87268c771d48,"Page 12; launch-quarter passings and penetration as of 2025-03-31"
shentel_2025q2_presentation,shentel_glo,2025-07-31,company_presentation,Shentel Second Quarter 2025 Presentation,https://investor.shentel.com/static-files/d87ea303-fae0-4def-9738-b540c3378eec,"Page 12; launch-quarter passings and penetration as of 2025-06-30"
shentel_2025q3_presentation,shentel_glo,2025-10-29,company_presentation,Shentel Third Quarter 2025 Presentation,https://investor.shentel.com/static-files/ed074954-1a78-4729-9181-f5dad7b7f6da,"Page 8; launch-quarter passings and penetration as of 2025-09-30"
shentel_2025q4_presentation,shentel_glo,2026-02-26,company_presentation,Shentel Fourth Quarter 2025 Presentation,https://investor.shentel.com/static-files/2b409cd0-ce20-4d1c-8174-a644a6b1ab1f,"Page 8; launch-quarter passings and penetration as of 2025-12-31"
shentel_2026q1_presentation,shentel_glo,2026-05-01,company_presentation,Shentel First Quarter 2026 Presentation,https://investor.shentel.com/static-files/787070c6-bb0e-41d4-8f94-4bb7acfd9a44,"Page 8; launch-quarter passings and penetration as of 2026-03-31"
shentel_2026q2_presentation,shentel_glo,2026-07-29,company_presentation,Shentel Second Quarter 2026 Presentation,https://investor.shentel.com/static-files/79384b67-0c3c-4283-b243-e41ddcc009fc,"Page 8; launch-quarter passings and penetration as of 2026-06-30"
optimum_q4_2023_results,optimum,2024-02-14,company_results,Altice USA Fourth Quarter 2023 Results,https://investors.optimum.com/news-events/press-releases/detail/182/altice-usa-reports-fourth-quarter-and-full-year-2023-results,"Fiber customers and network penetration"
optimum_q1_2024_results,optimum,2024-05-02,company_results,Altice USA First Quarter 2024 Results,https://investors.optimum.com/news-events/press-releases/detail/192/altice-usa-reports-first-quarter-2024-results,"Fiber customers and network penetration"
optimum_q2_2024_results,optimum,2024-08-01,company_results,Altice USA Second Quarter 2024 Results,https://investors.optimum.com/news-events/press-releases/detail/196/altice-usa-reports-second-quarter-2024-results,"Fiber customers/passings and network penetration"
optimum_q3_2024_results,optimum,2024-11-04,company_results,Altice USA Third Quarter 2024 Results,https://investors.optimum.com/news-events/press-releases/detail/201/altice-usa-reports-third-quarter-2024-results,"Fiber customers/passings and network penetration"
optimum_q4_2024_results,optimum,2025-02-13,company_results,Altice USA Fourth Quarter 2024 Results,https://investors.optimum.com/news-events/press-releases/detail/212/altice-usa-reports-fourth-quarter-and-full-year-2024-results,"Fiber customers and network penetration"
optimum_q1_2025_results,optimum,2025-05-08,company_results,Altice USA First Quarter 2025 Results,https://investors.optimum.com/news-events/press-releases/detail/217/altice-usa-reports-first-quarter-2025-results,"Fiber customers and network penetration"
optimum_q2_2025_results,optimum,2025-08-07,company_results,Altice USA Second Quarter 2025 Results,https://investors.optimum.com/news-events/press-releases/detail/221/altice-usa-reports-second-quarter-2025-results,"Fiber customers/passings and network penetration"
optimum_q3_2025_results,optimum,2025-11-06,company_results,Altice USA Third Quarter 2025 Results,https://investors.optimum.com/news-events/press-releases/detail/225/altice-usa-reports-third-quarter-2025-results,"Fiber customers/passings and network penetration"
optimum_q4_2025_results,optimum,2026-02-12,company_results,Optimum Fourth Quarter 2025 Results,https://investors.optimum.com/news-events/press-releases/detail/229/optimum-reports-fourth-quarter-and-full-year-2025-results,"Fiber customers/passings and network penetration"
altafiber_2024_financing_deck,altafiber,2024-05-16,financing_presentation,Altafiber Financing Presentation,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000716133/052ff323-1d74-43cb-8079-ae32e65d7fb4.pdf,"Page 6; 2020-2023 FTTP homes passed/subscribers/penetration"
hawaiian_2024_financing_deck,hawaiian_telcom,2024-05-16,financing_presentation,Hawaiian Telcom Financing Presentation,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000716133/052ff323-1d74-43cb-8079-ae32e65d7fb4.pdf,"Page 7; 2020-2023 FTTP homes passed/subscribers/penetration"
